week,open,close,ret_pct,regime,n_days
2020-02-07,11707.90,12098.35,3.33,RANGE,5
2020-02-14,12031.50,12113.45,0.68,RANGE,5
2020-02-20,12045.80,12080.85,0.29,RANGE,4
2020-02-28,11829.40,11201.75,-5.31,RANGE,5
2020-03-06,11132.75,10989.45,-1.29,TREND DOWN,5
2020-03-13,10451.45,9955.20,-4.75,TREND DOWN,4
2020-03-20,9197.40,8745.45,-4.91,TREND DOWN,5
2020-03-27,7610.25,8660.25,13.80,TREND DOWN,5
2020-04-03,8281.10,8083.80,-2.38,TREND DOWN,4
2020-04-09,8792.20,9111.90,3.64,TREND DOWN,3
2020-04-17,8993.85,9266.75,3.03,TREND DOWN,4
2020-04-24,9261.85,9154.40,-1.16,TREND DOWN,5
2020-04-30,9282.30,9859.90,6.22,RANGE,4
2020-05-08,9293.50,9251.50,-0.45,RANGE,5
2020-05-15,9239.20,9136.85,-1.11,RANGE,5
2020-05-22,8823.25,9039.25,2.45,RANGE,5
2020-05-29,9029.05,9580.30,6.11,RANGE,4
2020-06-05,9826.15,10142.15,3.22,RANGE,5
2020-06-12,10167.45,9972.90,-1.91,RANGE,5
2020-06-19,9813.70,10244.40,4.39,RANGE,5
2020-06-26,10311.20,10383.00,0.70,RANGE,5
2020-07-03,10312.40,10607.35,2.86,RANGE,5
2020-07-10,10763.65,10768.05,0.04,TREND UP,5
2020-07-17,10802.70,10901.70,0.92,TREND UP,5
2020-07-24,11022.20,11194.15,1.56,TREND UP,5
2020-07-31,11131.80,11073.45,-0.52,TREND UP,5
2020-08-07,10891.60,11214.05,2.96,TREND UP,5
2020-08-14,11270.15,11178.40,-0.81,TREND UP,5
2020-08-21,11247.10,11371.60,1.11,TREND UP,5
2020-08-28,11466.45,11647.60,1.58,TREND UP,5
2020-09-04,11387.50,11333.85,-0.47,TREND UP,5
2020-09-11,11355.05,11464.45,0.96,RANGE,5
2020-09-18,11440.05,11504.95,0.57,RANGE,5
2020-09-25,11250.55,11050.25,-1.78,RANGE,5
2020-10-01,11227.55,11416.95,1.69,RANGE,4
2020-10-09,11503.35,11914.20,3.57,RANGE,5
2020-10-16,11930.95,11762.45,-1.41,RANGE,5
2020-10-23,11873.05,11930.35,0.48,RANGE,5
2020-10-30,11767.75,11642.40,-1.07,CHOP,5
2020-11-06,11669.15,12263.55,5.09,CHOP,5
2020-11-13,12461.05,12719.95,2.08,RANGE,5
2020-11-20,12874.20,12859.05,-0.12,TREND UP,4
2020-11-27,12926.45,12968.95,0.33,TREND UP,5
2020-12-04,13109.05,13258.55,1.14,TREND UP,4
2020-12-11,13355.75,13513.85,1.18,TREND UP,5
2020-12-18,13558.15,13760.55,1.49,TREND UP,5
2020-12-24,13328.40,13749.25,3.16,TREND DOWN,4
2021-01-01,13873.20,14018.50,1.05,TREND UP,5
2021-01-08,14132.90,14347.25,1.52,TREND UP,5
2021-01-15,14484.75,14433.70,-0.35,TREND UP,5
2021-01-22,14281.30,14371.90,0.63,TREND UP,5
2021-01-29,14238.90,13634.60,-4.24,TREND DOWN,4
2021-02-05,14281.20,14924.25,4.50,TREND UP,5
2021-02-12,15115.80,15163.30,0.31,TREND UP,5
2021-02-19,15314.70,14981.75,-2.17,TREND UP,5
2021-02-26,14675.70,14529.15,-1.00,TREND DOWN,5
2021-03-05,14761.55,14938.10,1.20,RANGE,5
2021-03-12,14956.20,15030.95,0.50,CHOP,4
2021-03-19,14929.50,14744.00,-1.24,CHOP,5
2021-03-26,14736.40,14507.30,-1.55,RANGE,5
2021-04-01,14845.10,14867.35,0.15,RANGE,3
2021-04-09,14637.80,14834.85,1.35,CHOP,5
2021-04-16,14310.80,14617.85,2.15,CHOP,4
2021-04-23,14359.45,14341.35,-0.13,TREND DOWN,4
2021-04-30,14485.00,14631.10,1.01,CHOP,5
2021-05-07,14634.15,14823.15,1.29,RANGE,5
2021-05-14,14942.35,14677.80,-1.77,RANGE,4
2021-05-21,14923.15,15175.30,1.69,RANGE,5
2021-05-28,15197.70,15435.65,1.57,RANGE,5
2021-06-04,15582.80,15670.25,0.56,RANGE,5
2021-06-11,15751.65,15799.35,0.30,RANGE,5
2021-06-18,15811.85,15683.35,-0.81,RANGE,5
2021-06-25,15746.50,15860.35,0.72,CHOP,5
2021-07-02,15814.70,15722.20,-0.58,CHOP,5
2021-07-09,15834.35,15689.80,-0.91,CHOP,5
2021-07-16,15692.60,15923.40,1.47,CHOP,5
2021-07-23,15752.40,15856.05,0.66,CHOP,4
2021-07-30,15824.45,15763.05,-0.39,CHOP,5
2021-08-06,15885.15,16238.20,2.22,RANGE,5
2021-08-13,16258.25,16529.10,1.67,RANGE,5
2021-08-20,16563.05,16450.50,-0.68,RANGE,4
2021-08-27,16496.45,16705.20,1.27,RANGE,5
2021-09-03,16931.05,17323.60,2.32,TREND UP,5
