symbol,signal_date,tier,entry_date,entry_px,exit_px,exit_date,exit,hold_days,pnl_pct,open,stage_at_signal,rsi_at_signal
LT,2020-11-13,T1,2020-11-14,1060.05,1169.7,2020-12-07,time,15,10.34,False,ALL-ALIGN BULL,69.9
LT,2021-02-24,T2,2021-02-25,1534.0,1442.5,2021-02-26,stage,2,-5.96,False,ALL-ALIGN BULL,59.8
LT,2021-03-03,T1,2021-03-04,1473.0,1462.6,2021-03-04,stage,1,-0.71,False,EARLY-UP,54.0
LT,2021-03-08,T1,2021-03-09,1525.0,1524.2,2021-03-10,stage,2,-0.05,False,ALL-ALIGN BULL,56.3
LT,2021-05-27,T1,2021-05-28,1487.1,1487.55,2021-06-17,time,15,0.03,False,ALL-ALIGN BULL,68.0
LT,2021-06-22,T1,2021-06-23,1505.0,1479.25,2021-06-23,stage,1,-1.71,False,ALL-ALIGN BULL,56.0
LT,2021-07-22,T1,2021-07-23,1644.0,1583.3,2021-08-11,stage,14,-3.69,False,TOP-WARNING,72.3
LT,2021-09-17,T1,2021-09-20,1700.2,1726.9,2021-10-08,time,15,1.57,False,ALL-ALIGN BULL,66.6
LT,2021-10-05,T2,2021-10-06,1716.7,1718.2,2021-10-12,stage,5,0.09,False,ALL-ALIGN BULL,55.3
LT,2021-10-08,T2,2021-10-11,1733.75,1718.2,2021-10-12,stage,2,-0.9,False,ALL-ALIGN BULL,56.9
LT,2021-10-13,T1,2021-10-14,1775.0,1908.95,2021-11-04,time,15,7.55,False,ALL-ALIGN BULL,61.8
LT,2021-11-01,T2,2021-11-02,1800.0,1862.5,2021-11-24,time,15,3.47,False,ALL-ALIGN BULL,56.8
LT,2022-05-23,T1,2022-05-24,1644.8,1574.75,2022-05-25,stage,2,-4.26,False,EARLY-UP,50.4
LT,2022-07-18,T1,2022-07-19,1719.95,1829.65,2022-08-08,time,15,6.38,False,EARLY-UP,69.1
LT,2022-07-27,T2,2022-07-28,1805.0,1936.05,2022-08-19,time,15,7.26,False,ALL-ALIGN BULL,71.3
LT,2022-10-06,T1,2022-10-07,1905.0,1909.65,2022-10-10,stage,2,0.24,False,ALL-ALIGN BULL,55.4
LT,2022-11-23,T1,2022-11-24,2030.5,2195.45,2022-12-14,time,15,8.12,False,ALL-ALIGN BULL,59.9
LT,2022-12-27,T1,2022-12-28,2129.0,2110.9,2022-12-29,stage,2,-0.85,False,EARLY-UP,53.7
LT,2023-01-19,T1,2023-01-20,2282.45,2174.7,2023-01-25,stop,4,-4.72,False,TOP-WARNING,72.5
LT,2023-06-20,T1,2023-06-21,2382.0,2454.95,2023-07-12,time,15,3.06,False,ALL-ALIGN BULL,69.4
LT,2023-08-28,T2,2023-08-29,2710.0,2919.85,2023-09-18,time,15,7.74,False,ALL-ALIGN BULL,59.8
LT,2023-12-04,T1,2023-12-05,3319.05,3490.05,2023-12-26,time,15,5.15,False,TOP-WARNING,78.3
LT,2024-03-11,T1,2024-03-12,3639.05,3538.55,2024-03-13,stage,2,-2.76,False,ALL-ALIGN BULL,62.4
LT,2024-04-03,T1,2024-04-04,3804.9,3600.8,2024-04-15,stage,7,-5.36,False,ALL-ALIGN BULL,64.1
LT,2024-06-03,T1,2024-06-04,3852.0,3403.2,2024-06-04,stage,1,-11.65,False,TOP-WARNING,73.4
LT,2024-12-10,T1,2024-12-11,3923.15,3758.15,2024-12-18,stage,6,-4.21,False,ALL-ALIGN BULL,69.2
LT,2025-03-19,T1,2025-03-20,3335.25,3351.05,2025-03-20,stage,1,0.47,False,EARLY-UP,56.0
LT,2025-03-21,T1,2025-03-24,3449.0,3260.15,2025-04-04,stage,9,-5.48,False,EARLY-UP,63.7
LT,2025-05-29,T1,2025-05-30,3655.3,3603.9,2025-06-12,stage,10,-1.41,False,ALL-ALIGN BULL,68.2
LT,2025-07-30,T1,2025-07-31,3625.0,3641.6,2025-08-07,stage,6,0.46,False,ALL-ALIGN BULL,63.2
LT,2025-08-04,T2,2025-08-05,3630.0,3641.6,2025-08-07,stage,3,0.32,False,ALL-ALIGN BULL,57.9
LT,2025-08-13,T1,2025-08-14,3700.0,3635.1,2025-08-18,stage,2,-1.75,False,TOP-WARNING,61.5
LT,2025-10-15,T1,2025-10-16,3830.3,3882.5,2025-11-07,time,15,1.36,False,ALL-ALIGN BULL,67.5
LT,2025-11-10,T2,2025-11-11,3929.0,4073.2,2025-12-01,time,15,3.67,False,ALL-ALIGN BULL,57.7
LT,2025-12-05,T2,2025-12-08,4047.0,4003.9,2025-12-11,stage,4,-1.06,False,ALL-ALIGN BULL,57.8
LT,2025-12-12,T1,2025-12-15,4072.8,4031.1,2025-12-18,stage,4,-1.02,False,ALL-ALIGN BULL,61.5
LT,2026-02-03,T1,2026-02-04,4029.0,4259.2,2026-02-24,time,15,5.71,False,ALL-ALIGN BULL,60.3
LT,2026-02-11,T1,2026-02-12,4187.9,4066.7,2026-03-02,stage,13,-2.89,False,ALL-ALIGN BULL,68.3
LT,2026-04-08,T1,2026-04-09,3988.0,3896.2,2026-04-09,stage,1,-2.3,False,ALL-ALIGN BULL,60.5
LT,2026-07-29,T1,2026-07-30,3931.4,3937.7,2026-07-30,stage,1,0.16,False,EARLY-UP,52.0
LT,2026-07-31,T1,2026-08-03,3974.0,4025.0,2026-08-03,stage,1,1.28,False,EARLY-UP,52.7
